商品ID,商品名,カロリー,価格,塩分
1,彩りガーデンサラダ,130,299,1.1
2,小エビのサラダ,115,349,1.3
3,やわらかチキンのサラダ,134,299,1.2
4,わかめサラダ,92,299,2.1
5,イタリアンサラダ,196,299,0.7
6,シーフードサラダ,229,599,2.4
7,半熟卵とポークのサラダ,433,599,2.3
8,コーンクリームスープ,142,149,1.1
9,冷たいパンプキンスープ（季節限定）,105,149,0.9
10,たっぷり野菜のミネストローネ（季節限定）,222,299,2.1
11,削りたてペコリーノチーズ,59,100,0.6
12,ミニフィセル,188,169,1
13,ガーリックトースト,252,189,1.1
14,辛味チキン,374,299,2.2
15,アスパラガスのオーブン焼き（季節限定）,221,299,1.1
16,ポップコーンシュリンプ,215,299,1.4
17,エスカルゴのオーブン焼き,256,399,1.6
18,ムール貝のガーリック焼き,164,399,1.3
19,野菜ソースのグリルソーセージ,570,399,3.1
20,チョリソー,393,399,2
21,柔らか青豆の温サラダ,213,199,1.1
22,ほうれん草のソテー,138,199,1.2
23,キャベツとアンチョビのソテー,80,199,1.5
24,ポテトのグリル,366,199,2
25,セロリのピクルス（季節限定）,52,199,1.3
26,真イカのパプリカソース,138,199,1.1
27,フォッカチオ,214,119,0.8
28,プチフォッカ,214,139,0.8
29,セットプチフォッカ,107,79,0.4
30,フレッシュチーズとトマトのサラダ,203,299,0.4
31,フレッシュチーズとトマトのサラダ（Wサイズ）,406,598,0.8
32,プロシュート,162,399,1.8
33,プロシュート（Wサイズ）,324,798,3.6
34,熟成ミラノサラミ,95,299,1.1
35,熟成ミラノサラミ（Wサイズ）,190,598,2.2
36,マルゲリータピザ,568,399,2.5
37,パンチェッタのピザ,646,399,2.9
38,野菜ときのこのピザ,610,399,2.7
39,やわらかイカのアンチョビのピザ,593,499,4.6
40,バッファローモッツァレラのピザ,575,499,2.3
41,ミラノサラミのピザ,606,499,3.5
42,ほうれん草のグラタン（季節限定）,521,399,1.9
43,シーフードグラタン,537,499,2.2
44,アラビアータ,591,399,4.2
45,ミートソースボロニア風,582,399,4.3
46,半熟卵のミートソースボロニア風,672,468,4.5
47,アーリオ・オーリオ,560,299,3.2
48,キャベツのペペロンチーノ,686,399,3.5
49,タラコソースシシリー風,605,399,3.7
50,スープ入りトマト味ボンゴレ（季節限定）,686,499,4.8
51,パルマ風スパゲッティ,700,399,4.2
52,イカの墨入りスパゲッティ,610,499,3.8
53,カルボナーラ,865,499,4.1
54,アスパラガスとエビのクリームスパゲッティ（季節限定）,711,499,3.5
55,アラビアータ（Wサイズ）,1182,770,8.4
56,ミートソースボロニア風（Wサイズ）,1164,770,8.6
57,アーリオ・オーリオ（Wサイズ）,1120,574,6.4
58,キャベツのペペロンチーノ（Wサイズ）,1372,770,7
59,タラコソースシシリー風（Wサイズ）,1210,770,7.4
60,パルマ風スパゲッティ（Wサイズ）,1400,770,8.4
61,イカの墨入りスパゲッティ（Wサイズ）,1220,976,7.6
62,カルボナーラ（Wサイズ）,1730,976,8.2
63,アスパラガスとエビのクリームスパゲッティ（季節限定）（Wサイズ）,1422,976,7
64,トッピング半熟卵,90,69,0.2
65,ミラノ風ドリア,542,299,2.7
66,半熟卵のミラノ風ドリア,632,368,2.9
67,セットプチフォッカ付きミラノ風ドリア,649,378,3.1
68,いろどり野菜のミラノ風ドリア,590,399,3.1
69,エビとイカのドリア,624,499,2.9
70,シーフードパエリア,602,599,3.6
71,エビと野菜のトマトクリームリゾット,302,399,2.2
72,ハヤシ＆ターメリックライス,638,499,3.3
73,半熟卵のハヤシ＆ターメリックライス,728,568,3.5
74,ミックスグリル,823,599,3.8
75,ハンバーグステーキ,514,399,2.3
76,デミグラスソースのハンバーグ,628,499,2.6
77,野菜ソースのハンバーグ（ディアボラ風）,585,499,3.6
78,イタリアンハンバーグ,633,499,2.5
79,焼肉とハンバーグの盛合せ,709,599,3.4
80,若鶏のグリル（ディアボラ風）,541,499,2.1
81,柔らかチキンのチーズ焼き,588,499,2
82,パンチェッタと若鶏のグリル,663,599,2.5
83,リブステーキ,621,999,1.5
84,ライス,303,169,0
85,ラージライス,454,219,0
86,スモールライス,151,119,0
87,カプチーノ（アイスケーキ）（季節限定）,114,199,0.1
88,ティラミス（アイスケーキ）,131,199,0.1
89,シナモンフォッカチオ,246,169,0.8
90,プリンとカプチーノの盛合せ,330,399,0.2
91,プリンとティラミスの盛合せ,347,399,0.2
92,ミルクアイスのせシナモンフォッカチオ,346,319,0.9
93,ミルクジェラート,100,199,0.1
94,シチリア産レモンのソルベ,127,199,0
95,イタリアンプリン,216,249,0.1
96,チョコレートケーキ,166,299,0.1
97,コーヒーゼリー,162,299,0.1
98,トリフアイスクリーム,164,369,0.1
